"WeekDate","IsHoliday"
"2010-02-05",FALSE
"2010-02-12",TRUE
"2010-02-19",FALSE
"2010-02-26",FALSE
"2010-03-05",FALSE
"2010-03-12",FALSE
"2010-03-19",FALSE
"2010-03-26",FALSE
"2010-04-02",FALSE
"2010-04-09",FALSE
"2010-04-16",FALSE
"2010-04-23",FALSE
"2010-04-30",FALSE
"2010-05-07",FALSE
"2010-05-14",FALSE
"2010-05-21",FALSE
"2010-05-28",FALSE
"2010-06-04",FALSE
"2010-06-11",FALSE
"2010-06-18",FALSE
"2010-06-25",FALSE
"2010-07-02",FALSE
"2010-07-09",FALSE
"2010-07-16",FALSE
"2010-07-23",FALSE
"2010-07-30",FALSE
"2010-08-06",FALSE
"2010-08-13",FALSE
"2010-08-20",FALSE
"2010-08-27",FALSE
"2010-09-03",FALSE
"2010-09-10",TRUE
"2010-09-17",FALSE
"2010-09-24",FALSE
"2010-10-01",FALSE
"2010-10-08",FALSE
"2010-10-15",FALSE
"2010-10-22",FALSE
"2010-10-29",FALSE
"2010-11-05",FALSE
"2010-11-12",FALSE
"2010-11-19",FALSE
"2010-11-26",TRUE
"2010-12-03",FALSE
"2010-12-10",FALSE
"2010-12-17",FALSE
"2010-12-24",FALSE
"2010-12-31",TRUE
"2011-01-07",FALSE
"2011-01-14",FALSE
"2011-01-21",FALSE
"2011-01-28",FALSE
"2011-02-04",FALSE
"2011-02-11",TRUE
"2011-02-18",FALSE
"2011-02-25",FALSE
"2011-03-04",FALSE
"2011-03-11",FALSE
"2011-03-18",FALSE
"2011-03-25",FALSE
"2011-04-01",FALSE
"2011-04-08",FALSE
"2011-04-15",FALSE
"2011-04-22",FALSE
"2011-04-29",FALSE
"2011-05-06",FALSE
"2011-05-13",FALSE
"2011-05-20",FALSE
"2011-05-27",FALSE
"2011-06-03",FALSE
"2011-06-10",FALSE
"2011-06-17",FALSE
"2011-06-24",FALSE
"2011-07-01",FALSE
"2011-07-08",FALSE
"2011-07-15",FALSE
"2011-07-22",FALSE
"2011-07-29",FALSE
"2011-08-05",FALSE
"2011-08-12",FALSE
"2011-08-19",FALSE
"2011-08-26",FALSE
"2011-09-02",FALSE
"2011-09-09",TRUE
"2011-09-16",FALSE
"2011-09-23",FALSE
"2011-09-30",FALSE
"2011-10-07",FALSE
"2011-10-14",FALSE
"2011-10-21",FALSE
"2011-10-28",FALSE
"2011-11-04",FALSE
"2011-11-11",FALSE
"2011-11-18",FALSE
"2011-11-25",TRUE
"2011-12-02",FALSE
"2011-12-09",FALSE
"2011-12-16",FALSE
"2011-12-23",FALSE
"2011-12-30",TRUE
"2012-01-06",FALSE
"2012-01-13",FALSE
"2012-01-20",FALSE
"2012-01-27",FALSE
"2012-02-03",FALSE
"2012-02-10",TRUE
"2012-02-17",FALSE
"2012-02-24",FALSE
"2012-03-02",FALSE
"2012-03-09",FALSE
"2012-03-16",FALSE
"2012-03-23",FALSE
"2012-03-30",FALSE
"2012-04-06",FALSE
"2012-04-13",FALSE
"2012-04-20",FALSE
"2012-04-27",FALSE
"2012-05-04",FALSE
"2012-05-11",FALSE
"2012-05-18",FALSE
"2012-05-25",FALSE
"2012-06-01",FALSE
"2012-06-08",FALSE
"2012-06-15",FALSE
"2012-06-22",FALSE
"2012-06-29",FALSE
"2012-07-06",FALSE
"2012-07-13",FALSE
"2012-07-20",FALSE
"2012-07-27",FALSE
"2012-08-03",FALSE
"2012-08-10",FALSE
"2012-08-17",FALSE
"2012-08-24",FALSE
"2012-08-31",FALSE
"2012-09-07",TRUE
"2012-09-14",FALSE
"2012-09-21",FALSE
"2012-09-28",FALSE
"2012-10-05",FALSE
"2012-10-12",FALSE
"2012-10-19",FALSE
"2012-10-26",FALSE
